publish_date,code_name,summary,label,trend_before
2013-05-04,300014.sz,本日亿纬锂能的相关新闻标题如下：'亿纬锂能：锂离子电池业务增长开始加速',positive,"0.075,0.065,0.057,0.049,0.043,0.037,0.032,0.027,0.023,0.019"
2013-05-07,002594.sz,"本日比亚迪的相关新闻标题如下：'巴菲特一句“有信心” 比亚迪A股创新高', '比亚迪电子昨日大涨11%', '锂电池板块爆发 机构1.47亿元联手推比亚迪涨停'",very positive,"0.285,0.29,0.278,0.259,0.238,0.219,0.201,0.186,0.172,0.16"
2013-05-07,600577.sh,"本日精达股份的相关新闻标题如下：'精达股份进军高端领域 2.45亿入主恒丰铜材', '精达股份跨入航天军工高端特种电磁线领域', '精达股份2.45亿控股恒丰铜材'",neutral,"-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018"
2013-05-14,002594.sz,"本日比亚迪的相关新闻标题如下：'特斯拉季报超预期概念顿生 比亚迪难成其中国版', '巴菲特：从未考虑过出售比亚迪股份'",positive,"0.219,0.201,0.186,0.172,0.16,0.099,0.009,-0.072,-0.164,-0.299"
2013-05-15,002594.sz,"本日比亚迪的相关新闻标题如下：'比亚迪涨停迎接巴菲特到访 太阳能公司借机上涨', 'A股刮巴菲特旋风 比亚迪获2.04亿元资金疯抢', '股神造访中国让比亚迪“沾光”'",negative,"0.201,0.186,0.172,0.16,0.099,0.009,-0.072,-0.164,-0.299,-0.575"
2013-05-16,002594.sz,本日比亚迪的相关新闻标题如下：'港府大力扶持 比亚迪H股创两年新高',negative,"0.186,0.172,0.16,0.099,0.009,-0.072,-0.164,-0.299,-0.575,-1.277"
2013-05-21,002594.sz,"本日比亚迪的相关新闻标题如下：'913家上市公司发布中报业绩预告 比亚迪预增居首位', '比亚迪中报预增2973% '",negative,"0.099,0.009,-0.072,-0.164,-0.299,-0.575,-1.277,2.788,0.253,-0.183"
2013-05-23,002594.sz,本日比亚迪的相关新闻标题如下：'比亚迪速锐车主维权遭遇“保密协议”潜规则',positive,"-0.072,-0.164,-0.299,-0.575,-1.277,2.788,0.253,-0.183,-0.695,-2.471"
2013-05-24,002460.sz,本日赣锋锂业的相关新闻标题如下：'赣锋锂业转让无锡新能锂业60%股权',positive,"0.019,0.01,0.002,-0.006,-0.021,-0.044,-0.069,-0.099,-0.138,-0.192"
2013-05-24,002594.sz,本日比亚迪的相关新闻标题如下：'比亚迪高位回落',positive,"-0.164,-0.299,-0.575,-1.277,2.788,0.253,-0.183,-0.695,-2.471,0.887"
2013-05-25,002594.sz,本日比亚迪的相关新闻标题如下：'特斯拉会颠覆比亚迪吗？',positive,"-0.164,-0.299,-0.575,-1.277,2.788,0.253,-0.183,-0.695,-2.471,0.887"
2013-05-29,002594.sz,本日比亚迪的相关新闻标题如下：'比亚迪携世界顶尖纯电动大巴出席国际交通展览会',negative,"-1.277,2.788,0.253,-0.183,-0.695,-2.471,0.887,0.049,-0.354,-1.167"
2013-06-03,300014.sz,本日亿纬锂能的相关新闻标题如下：'股价异动 亿纬锂能就”北斗项目“等概念发表说明',very positive,"-0.102,-0.143,-0.2,-0.124,0.196,0.446,0.503,0.465,0.304,0.146"
2013-06-04,600577.sh,本日精达股份的相关新闻标题如下：'精达股份已回购股份1156万股 占总股本1.6%',neutral,"-0.017,-0.016,-0.016,-0.016,-0.016,-0.015,-0.015,-0.015,-0.015,-0.014"
2013-06-06,300014.sz,本日亿纬锂能的相关新闻标题如下：'“特斯拉”旋风助推亿纬锂能股价逆市上涨',very positive,"-0.124,0.196,0.446,0.503,0.465,0.304,0.146,0.051,-0.025,-0.1"
2013-06-07,002460.sz,本日赣锋锂业的相关新闻标题如下：'赣锋锂业积极收购锂云母资源',negative,"-0.278,-0.439,-0.882,-8.271,1.252,0.533,0.285,0.173,0.106,0.058"
2013-06-08,002594.sz,本日比亚迪的相关新闻标题如下：'王传福：IT业务形势喜人 “分分钟”可造出特斯拉',very positive,"0.049,-0.354,-1.167,10.724,0.827,0.183,-0.073,-0.325,-0.845,-5.19"
2013-06-13,002594.sz,本日比亚迪的相关新闻标题如下：'比亚迪与阿鲁巴政府打造零排放  ',very positive,"-0.354,-1.167,10.724,0.827,0.183,-0.073,-0.325,-0.845,-5.19,0.548"
2013-06-21,002594.sz,"本日比亚迪的相关新闻标题如下：'比亚迪澄清充电器爆炸报道 股价企稳', '电动车香港充电爆炸 比亚迪AH股齐挫', '“电的”入港一月 充电器“爆炸”比亚迪“受伤”', '比亚迪回应充电桩故障:不影响香港电动车正常运营'",very negative,"-0.325,-0.845,-5.19,0.548,-0.092,-0.593,-2.662,1.554,0.287,-0.027"
2013-06-22,002594.sz,本日比亚迪的相关新闻标题如下：'比亚迪：电动车及充电设施均未爆炸',very negative,"-0.325,-0.845,-5.19,0.548,-0.092,-0.593,-2.662,1.554,0.287,-0.027"
2013-06-24,002594.sz,"本日比亚迪的相关新闻标题如下：'火药桶上的比亚迪：头顶光环也要承受苦果', '张毅：比亚迪又遭遇飞来横祸'",negative,"-0.845,-5.19,0.548,-0.092,-0.593,-2.662,1.554,0.287,-0.027,-0.284"
2013-06-27,002460.sz,本日赣锋锂业的相关新闻标题如下：'赣锋锂业：竞得土地使用权',neutral,"-0.016,-0.052,-0.093,-0.144,-0.186,-0.214,-0.253,-0.315,-0.423,-0.672"
2013-06-27,600595.sh,本日中孚实业的相关新闻标题如下：'中孚实业非公开发行获审核通过',neutral,"1.138,0.53,0.345,0.255,0.202,0.168,0.143,0.124,0.11,0.099"
2013-07-02,300014.sz,本日亿纬锂能的相关新闻标题如下：'亿纬锂能湖北锂电池生产基地奠基 2年建成',very positive,"0.538,0.127,-0.084,-0.307,-0.754,-4.331,1.217,0.303,0.044,-0.139"
2013-07-03,600577.sh,本日精达股份的相关新闻标题如下：'精达股份累计回购1.604%股份 耗资近5800万',neutral,"-0.014,-0.014,-0.015,-0.015,-0.016,-0.016,-0.016,-0.017,-0.017,-0.018"
2013-07-10,300014.sz,"本日亿纬锂能的相关新闻标题如下：'亿纬锂能：上半年营收增8成 净利增超5成', '亿纬锂能中期净利预增5成 电子烟电池获海外客户认可'",positive,"1.217,0.303,0.044,-0.139,-0.371,-0.647,-1.211,2.782,-0.043,-0.859"
2013-07-11,600468.sh,本日百利电气的相关新闻标题如下：'百利电气拟转让赣州海创100%股权',neutral,"0.03,0.028,0.027,0.026,0.025,0.024,0.023,0.022,0.022,0.021"
2013-07-11,600577.sh,本日精达股份的相关新闻标题如下：'精达股份股票回购虎头蛇尾 助增发股东离场？',neutral,"-0.016,-0.017,-0.017,-0.018,-0.018,-0.019,-0.019,-0.02,-0.021,-0.021"
2013-07-17,002594.sz,本日比亚迪的相关新闻标题如下：'比亚迪高管套现近3000万 疑汽车业务不如预期',negative,"-0.378,-0.493,-0.744,-2.018,1.106,0.28,0.16,0.088,0.035,-0.011"
2013-07-17,300014.sz,"本日亿纬锂能的相关新闻标题如下：'亿纬锂能：控股子公司项目进展', '亿纬锂能子公司增程式电动客车可售'",positive,"-0.647,-1.211,2.782,-0.043,-0.859,-11.859,1.06,0.225,-0.053,-0.305"
2013-07-18,002594.sz,"本日比亚迪的相关新闻标题如下：'比亚迪放量重挫', '比亚迪高管频繁套现 对汽车业务缺乏信心'",negative,"-0.493,-0.744,-2.018,1.106,0.28,0.16,0.088,0.035,-0.011,-0.057"
2013-07-18,300014.sz,本日亿纬锂能的相关新闻标题如下：'亿纬锂能称子公司电动车目前未量产和销售',negative,"-1.211,2.782,-0.043,-0.859,-11.859,1.06,0.225,-0.053,-0.305,-0.797"
2013-07-19,002594.sz,本日比亚迪的相关新闻标题如下：'比亚迪成为日本第一家获SII补助金的外资企业',negative,"-0.744,-2.018,1.106,0.28,0.16,0.088,0.035,-0.011,-0.057,-0.108"
2013-07-23,002460.sz,本日赣锋锂业的相关新闻标题如下：'赣锋锂业中期净利3499万 同比增长9.75%',positive,"0.053,0.034,0.016,0.0,-0.016,-0.032,-0.05,-0.07,-0.084,-0.088"
2013-07-25,002460.sz,本日赣锋锂业的相关新闻标题如下：'钦雨科技诉王健及赣锋锂业合同纠纷案遭驳回',positive,"0.016,0.0,-0.016,-0.032,-0.05,-0.07,-0.084,-0.088,-0.092,-0.097"
2013-07-30,002594.sz,本日比亚迪的相关新闻标题如下：'七成上市车企中报预增 比亚迪业绩涨近30倍',positive,"-0.011,-0.057,-0.108,-0.175,-0.277,-0.472,-1.064,15.898,0.711,0.282"
2013-07-30,300014.sz,"本日亿纬锂能的相关新闻标题如下：'亿纬锂能半年净利增超五成', '亿纬锂能中期净利增逾5成 锂离子电池收入暴增'",positive,"-0.305,-0.797,-4.116,0.873,0.227,-0.01,-0.207,-0.509,-1.091,7.603"
2013-07-31,600595.sh,本日中孚实业的相关新闻标题如下：'中孚实业非公开发行4.48亿股新股获核准',neutral,"0.038,0.036,0.035,0.033,0.032,0.031,0.03,0.029,0.028,0.027"
2013-08-03,600595.sh,本日中孚实业的相关新闻标题如下：'中孚实业向光大银行申请4.2亿授信',neutral,"0.035,0.033,0.032,0.031,0.03,0.029,0.028,0.027,0.026,0.025"
2013-08-06,002594.sz,本日比亚迪的相关新闻标题如下：'比亚迪电动大巴正式登陆以色列特拉维夫',neutral,"-0.472,-1.064,15.898,0.711,0.282,0.115,0.009,-0.084,-0.193,-0.365"
2013-08-13,002594.sz,本日比亚迪的相关新闻标题如下：'比亚迪电动大巴K9在以色列投入运营',negative,"0.115,0.009,-0.084,-0.193,-0.365,-0.773,-4.273,1.572,0.51,0.134"
2013-08-16,600595.sh,本日中孚实业的相关新闻标题如下：'铝价下行 中孚实业中期亏损1.97亿元',neutral,"0.025,0.024,0.023,0.023,0.022,0.021,0.021,0.02,0.02,0.019"
2013-08-22,600468.sh,本日百利电气的相关新闻标题如下：'百利电气：2013年半年度主要财务指标',neutral,"0.01,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008"
2013-08-23,002594.sz,本日比亚迪的相关新闻标题如下：'比亚迪上半年利润料大幅增长',negative,"0.51,0.134,-0.061,-0.255,-0.599,-2.133,1.533,0.106,-0.355,-1.249"
2013-08-24,002460.sz,本日赣锋锂业的相关新闻标题如下：'赣锋锂业子公司新能锂业解散清算 因火灾难复产',neutral,"-0.398,-0.6,-1.343,3.461,0.675,0.343,0.232,0.188,0.158,0.136"
2013-08-26,002594.sz,"本日比亚迪的相关新闻标题如下：'比亚迪中期净利大增25倍 各业务板块均实现增长', '比亚迪上半年净利飙涨25倍', '比亚迪中期净利4.27亿增25倍 汽车业务收入136亿', '比亚迪中期净利增25倍 各业务板块均实现增长'",very negative,"0.134,-0.061,-0.255,-0.599,-2.133,1.533,0.106,-0.355,-1.249,7.819"
2013-08-27,002594.sz,"本日比亚迪的相关新闻标题如下：'比亚迪逆市下跌', '七成车企中期净利增长 比亚迪飙涨25倍居首'",very negative,"-0.061,-0.255,-0.599,-2.133,1.533,0.106,-0.355,-1.249,7.819,0.799"
2013-09-07,600468.sh,本日百利电气的相关新闻标题如下：'百利电气两全资子公司吸收合并',neutral,"0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005"
2013-09-10,002594.sz,本日比亚迪的相关新闻标题如下：'富士康抄比亚迪后路 进军汽车领域',very positive,"0.17,-0.089,-0.356,-0.952,-28.058,0.981,0.284,0.056,-0.103,-0.289"
2013-09-11,002594.sz,本日比亚迪的相关新闻标题如下：'比亚迪前8月汽车销售超32万辆 同比增23%',positive,"-0.089,-0.356,-0.952,-28.058,0.981,0.284,0.056,-0.103,-0.289,-0.471"
2013-09-13,002594.sz,本日比亚迪的相关新闻标题如下：'比亚迪追风特斯拉 机构大宗交易2.3亿元抢筹',negative,"-0.952,-28.058,0.981,0.284,0.056,-0.103,-0.289,-0.471,-0.674,-1.403"
2013-09-14,002594.sz,"本日比亚迪的相关新闻标题如下：'夏佐全套现比亚迪2.3亿', '比亚迪创始人减持套现2.33亿元  称未来或增持', '因对外投资项目需要资金 夏佐全减持比亚迪套现2.3亿', '比亚迪股东夏佐全减持600万股 未来或增持'",negative,"-0.952,-28.058,0.981,0.284,0.056,-0.103,-0.289,-0.471,-0.674,-1.403"
2013-09-17,002594.sz,本日比亚迪的相关新闻标题如下：'新技术和扩大网购比例 比亚迪添加利润“新奶酪”',negative,"0.981,0.284,0.056,-0.103,-0.289,-0.471,-0.674,-1.403,1.842,0.072"
2013-09-23,002594.sz,本日比亚迪的相关新闻标题如下：'新车“秦”四季度君临天下 比亚迪获基金增持',neutral,"0.056,-0.103,-0.289,-0.471,-0.674,-1.403,1.842,0.072,-0.47,-1.125"
2013-09-26,002594.sz,"本日比亚迪的相关新闻标题如下：'比亚迪：新补贴政策为重大利好 产能瓶颈在电池', '王传福：比亚迪最重要的财富是1.5万名工程师'",neutral,"-0.471,-0.674,-1.403,1.842,0.072,-0.47,-1.125,4.716,0.071,-0.637"
2013-10-09,600577.sh,"本日精达股份的相关新闻标题如下：'精达股份筹划非公开发行股票', '精达股份因筹划非公开发行股票自10月8日开市起停牌'",neutral,"0.162,0.14,0.124,0.111,0.101,0.092,0.085,0.079,0.073,0.069"
2013-10-10,300014.sz,本日亿纬锂能的相关新闻标题如下：'亿纬锂能前3季净利预增超5成',positive,"-1.751,2.196,0.178,-0.281,-0.991,-177.507,1.385,0.437,-0.007,-0.32"
2013-10-11,002460.sz,"本日赣锋锂业的相关新闻标题如下：'赣锋锂业获准设立博士后工作站', '赣锋锂业获批国家级博士后科研工作站'",neutral,"0.034,0.029,0.023,0.018,0.014,0.009,0.005,0.001,-0.003,-0.008"
2013-10-19,002460.sz,本日赣锋锂业的相关新闻标题如下：'赣锋锂业非公开发行申请获证监会通过',neutral,"0.009,0.005,0.001,-0.003,-0.008,-0.012,-0.016,-0.021,-0.026,-0.031"
2013-10-22,600577.sh,"本日精达股份的相关新闻标题如下：'股东实际控制加强 精达股份复牌利好', '精达股份拟定增募资10亿 明起复牌', '精达股份拟定增募资10亿元 大股东认购半数', '精达股份拟定增募资10亿 实际控制人认购半数', '精达股份拟募资10亿补血偿还贷款补充流动资金'",neutral,"0.14,0.124,0.111,0.101,0.092,0.085,0.079,0.073,0.069,0.065"
2013-10-22,600577.sh,本日精达股份的相关新闻标题如下：'精达股份拟定增募资10亿“减负”',neutral,"0.14,0.124,0.111,0.101,0.092,0.085,0.079,0.073,0.069,0.065"
2013-10-23,600577.sh,本日精达股份的相关新闻标题如下：'恒丰铜材业绩不达标 精达股份收购风险陡增',neutral,"0.124,0.111,0.101,0.092,0.085,0.079,0.073,0.069,0.065,0.061"
2013-10-25,300014.sz,本日亿纬锂能的相关新闻标题如下：'亿纬锂能全年业绩预增4至7成 锂原电池订单稳定增长',positive,"-1.976,1.559,0.301,-0.005,-0.242,-0.633,-1.833,1.427,0.269,-0.039"
2013-10-30,002594.sz,"本日比亚迪的相关新闻标题如下：'比亚迪前三季净利暴增21倍 全年预增570%以上', '比亚迪前三季净利4.65亿元 暴增21倍', '比亚迪全年净利润同比预增约六倍', '比亚迪前三季净利暴涨21倍 全年同比预增约六倍', '比亚迪在美因违反工资法被罚10万美元'",very negative,"0.039,-0.148,-0.393,-0.775,-2.971,1.267,0.453,0.239,0.134,0.066"
2013-10-31,300014.sz,"本日亿纬锂能的相关新闻标题如下：'亿纬锂能锂电池创新平台获准', '亿纬锂能锂电池工程研究中心创新平台获批'",negative,"-0.242,-0.633,-1.833,1.427,0.269,-0.039,-0.302,-0.573,-1.112,7.881"
2013-11-01,002594.sz,本日比亚迪的相关新闻标题如下：'新车即将上市 比亚迪第四季盈利或破亿',negative,"-0.393,-0.775,-2.971,1.267,0.453,0.239,0.134,0.066,0.013,-0.035"
2013-11-01,300014.sz,本日亿纬锂能的相关新闻标题如下：'亿纬锂能锂电研究中心获批',negative,"-0.633,-1.833,1.427,0.269,-0.039,-0.302,-0.573,-1.112,7.881,0.66"
2013-11-04,002594.sz,本日比亚迪的相关新闻标题如下：'比亚迪e6出租车正式进入广西梧州',negative,"-0.775,-2.971,1.267,0.453,0.239,0.134,0.066,0.013,-0.035,-0.086"
2013-11-05,002594.sz,本日比亚迪的相关新闻标题如下：'比亚迪否认在美员工报酬过低',negative,"-2.971,1.267,0.453,0.239,0.134,0.066,0.013,-0.035,-0.086,-0.148"
2013-11-12,002460.sz,本日赣锋锂业的相关新闻标题如下：'赣锋锂业非公开发行股票获证监会核准',neutral,"-0.098,-0.11,-0.124,-0.143,-0.168,-0.204,-0.259,-0.353,-0.55,-1.231"
2013-11-13,002460.sz,"本日赣锋锂业的相关新闻标题如下：'赣锋锂业定增获批 实施达产后预计业绩倍增', '赣锋锂业定增获批 达产后预计业绩倍增'",neutral,"-0.11,-0.124,-0.143,-0.168,-0.204,-0.259,-0.353,-0.55,-1.231,5.366"
2013-11-19,600577.sh,本日精达股份的相关新闻标题如下：'精达股份放弃参股金顺矿业',neutral,"0.04,0.039,0.037,0.036,0.035,0.034,0.033,0.032,0.031,0.031"
2013-11-20,600577.sh,本日精达股份的相关新闻标题如下：'精达股份将投资新兴产业',neutral,"0.039,0.037,0.036,0.035,0.034,0.033,0.032,0.031,0.031,0.03"
2013-11-22,300014.sz,本日亿纬锂能的相关新闻标题如下：'亿纬锂能：电子烟客户加速集中',negative,"-0.455,-1.105,9.434,0.459,0.009,-0.294,-0.845,-8.188,0.912,0.039"
2013-12-02,600468.sh,"本日百利电气的相关新闻标题如下：'两度折戟后 百利电气第三版定增案出炉', '百利电气控股子公司拟不超2702万购买土地'",neutral,"-0.004,-0.004,-0.005,-0.005,-0.005,-0.005,-0.005,-0.006,-0.006,-0.006"
2013-12-07,002460.sz,"本日赣锋锂业的相关新闻标题如下：'赣锋锂业获得840万财政扶持资金', '赣锋锂业：获得政府补贴', '赣锋锂业获840万元政府补贴'",neutral,"0.127,0.113,0.103,0.088,0.069,0.055,0.042,0.031,0.021,0.012"
2013-12-16,002594.sz,本日比亚迪的相关新闻标题如下：'比亚迪双模超级电动车“秦”明日发布',neutral,"-0.083,-0.113,-0.152,-0.186,-0.208,-0.239,-0.281,-0.346,-0.459,-0.722"
2013-12-19,002594.sz,本日比亚迪的相关新闻标题如下：'比亚迪称“秦”售价接近制造成本',neutral,"-0.186,-0.208,-0.239,-0.281,-0.346,-0.459,-0.722,-2.142,1.475,0.434"
2013-12-27,600468.sh,"本日百利电气的相关新闻标题如下：'百利电气非公开发行A股股票方案获天津市国资委批复', '百利电气非公开发行股票获天津市国资委批复'",neutral,"-0.009,-0.009,-0.01,-0.01,-0.01,-0.01,-0.011,-0.011,-0.012,-0.012"
2013-12-31,600595.sh,本日中孚实业的相关新闻标题如下：'中孚实业清算中孚特种铝材',neutral,"0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004"
