,title,post_publish_time,code_name,content
43,百利电气放量涨停 两机构卖出2399万元,2023-03-10 17:07:57,600468.sh,2023年3月10日讯，百利电气今日放量涨停，封单近6万手，成交额近6亿元；盘后交易数据显示，两机构席位合计净卖出2399万元。
52,百利电气股东户数增加19.79%，户均持股14.39万元,2022-10-27 16:10:09,600468.sh,百利电气2022年10月28日在三季度报告中披露，截至2022年9月30日公司股东户数为3.1万户，较上期（2022年6月30日）增加5122户，增幅达19.79%。 百利电气股东户数低于行业平均水平。根据Choice数据，截至2022年9月30日电力设备行业上市公司平均股东户数为4.61万户。其中，公司股东户数处于2万~4万区间占比最高，为26.05%，百利电气也处在该区间范围内。  2021年9月30日至今，公司股东户数显著增长，区间涨幅为22.49%。2021年9月30日至2022年9月30日区间股价下降17.29%。  截至2022年9月30日，公司最新总股本为10.88亿股，且均为流通股。户均持有流通股数量由上期的4.2万股下降至3.51万股，户均流通市值14.39万元。 百利电气户均持有流通市值低于行业平均水平。根据Choice数据，截至2022年9月30日，电力设备行业A股上市公司平均户均持有流通股市值为44.85万元。其中，26.37%的公司户均持有流通股市值在11.5万~24.5万区间内，百利电气也处在该区间范围内。
53,百利电气：2022年前三季度净利润同比增长1.45%,2022-10-27 15:56:48,600468.sh,百利电气（600468）发布三季报，2022年前三季度实现营业总收入17.5亿元，同比下降0.88%；归属母公司股东净利润9811.74万元，同比增长1.45%；基本每股收益为0.0902元。
54,百利电气：控股子公司研发项目纳入2022年度江苏省碳达峰碳中和科技创新专项资金项目,2022-10-19 17:23:57,600468.sh,百利电气(600468)10月19日晚间公告，公司控股子公司苏州贯龙公司“13MW及以上风电发电机用高性能定子绕组研发及产业化项目”被纳入2022年度江苏省碳达峰碳中和科技创新专项资金(重大科技成果转化)项目，省财政资助经费1500万元(该项目新增投入6000万元，其中苏州贯龙公司自筹资金4500万元，专项资金1500万元)。
55,百利电气：公开选聘总经理及副总经理各一名,2022-10-19 17:18:42,600468.sh,百利电气10月19日公告，公司拟于近日在招聘媒体发布《面向社会公开选聘天津百利特精电气股份有限公司总经理、副总经理公告》。其中，选聘总经理1名，全面负责公司的经营管理；选聘副总经理1名，负责公司生产经营等工作。
56,百利电气：总经理史祺辞职 董事长杨川代行职务,2022-10-16 19:43:17,600468.sh,百利电气10月16日公告，公司董事会于近日收到总经理史祺提交的书面辞职报告，史祺申请辞去总经理职务，辞职后史祺将不在公司担任任何职务，办理退休。根据控股股东天津液压机械(集团)有限公司的建议，经公司治理委员会审查，自董事会通过之日起，至公司完成聘任新的总经理期间，由董事长杨川代行总经理职务。
57,百利电气人气较昨日提升2105 现居飙升榜第18,2022-09-13 10:08:45,600468.sh,截至9月13日10时，百利电气最新人气排名第767，环比昨日人气排名提升2105位次，当前人气提升位次居飙升榜第18位。 
58,【图解中报】百利电气：2022上半年归母净利润同比增长6.1%，约为5957万元,2022-08-25 19:22:58,600468.sh,百利电气于2022年8月26日披露中报，公司2022上半年实现营业总收入11.31亿元，同比增长1.3%；实现归母净利润5957万元，同比增长6.1%；每股收益为0.05元。  公司2022半年度营业成本8.85亿元，同比增长2.3%，高于营业收入1.3%的增速，导致毛利率下降0.7%。期间费用率为15.5%，同去年相比变化不大。经营性现金流大幅上升264%至8635万元。
59,百利电气股东户数下降1.34%，户均持股19.29万元,2022-08-25 16:42:16,600468.sh,百利电气2022年8月26日在半年度报告中披露，截至2022年6月30日公司股东户数为2.59万户，较上期（2022年3月31日）减少352户，减幅为1.34%。 百利电气股东户数低于行业平均水平。根据Choice数据，截至2022年6月30日电力设备行业上市公司平均股东户数为4.74万户。其中，公司股东户数处于2万~4万区间占比最高，为26.09%，百利电气也处在该区间范围内。  2021年6月30日至今，公司股东户数有所增长，区间涨幅为4.10%。2021年6月30日至2022年6月30日区间股价上涨13.05%。  截至2022年6月30日，公司最新总股本为10.88亿股，且均为流通股。户均持有流通股数量由上期的4.28万股下降至4.2万股，户均流通市值19.29万元。 百利电气户均持有流通市值低于行业平均水平。根据Choice数据，截至2022年6月30日，电力设备行业A股上市公司平均户均持有流通股市值为47.04万元。其中，24.41%的公司户均持有流通股市值在12万~23万区间内，百利电气也处在该区间范围内。
60,百利电气：2022年半年度净利润约5957万元 同比增加6.1%,2022-08-25 16:14:46,600468.sh,每经AI快讯，百利电气(SH600468，收盘价：4.76元)8月25日晚间发布半年度业绩报告称，2022年上半年营业收入约11.31亿元，同比增加1.3%；归属于上市公司股东的净利润约5957万元，同比增加6.1%；基本每股收益0.0548元，同比增加6.2%。公司不进行利润分配、公积金转增股本。 2021年1至12月份，百利电气的营业收入构成为：制造业占比89.58%，贸易业占比6.58%。 百利电气的董事长是杨川，男，学历背景为博士；总经理是史祺，男，学历背景为博士。 截至发稿，百利电气市值为52亿元。
61,百利电气：2022上半年净利润同比增长6.1%,2022-08-25 15:49:37,600468.sh,百利电气（600468）发布中报，2022上半年实现营业总收入11.31亿元，同比增长1.3%；归属母公司股东净利润5956.92万元，同比增长6.1%；基本每股收益为0.0548元。
62,百利电气：100KVA储能变流器目前处于研发阶段 尚未投产,2022-08-10 17:09:36,600468.sh,百利电气8月10日在互动平台回答投资者提问时表示，100KVA储能变流器由控股子公司辽宁荣信兴业电力技术有限公司研发，该产品属于小功率产品，目前处于研发阶段，尚未投产。
63,百利电气：公司没有直接从事生产电机产品,2022-08-10 13:33:35,600468.sh,每经AI快讯，有投资者在投资者互动平台提问：尊敬的董秘，你好！请问贵司有否生产电机产品？或者生产应用于电机的产品？谢谢！ 百利电气(600468.SH)8月10日在投资者互动平台表示，公司控股子公司苏州贯龙电磁线有限公司生产的电磁线、线圈等产品主要应用于B、F、H、C级绝缘等级的汽轮发电机、水轮发电机、风电、核电、各类交(直)流电机、高压电机等，但公司没有直接从事生产电机产品。
64,百利电气：公司有超导产品研发 但超导限流器未进行产业化,2022-08-10 13:11:05,600468.sh,每经AI快讯，有投资者在投资者互动平台提问：董秘，你好！贵司作为国内首家超导限流器产业化的企业，超导限流器目前产量如何？谢谢！ 百利电气(600468.SH)8月10日在投资者互动平台表示，公司有超导产品研发，但超导限流器未进行产业化。
65,百利电气：100KVA储能变流器由控股子公司辽宁荣信兴业电力技术有限公司研发,2022-08-10 13:11:05,600468.sh,每经AI快讯，有投资者在投资者互动平台提问：请问公司21年研发送样的100KVA储能变流器由哪个子公司研发生产，22年可以批量销售生产了吗？ 百利电气(600468.SH)8月10日在投资者互动平台表示，100KVA储能变流器由控股子公司辽宁荣信兴业电力技术有限公司研发，该产品属于小功率产品，目前处于研发阶段，尚未投产。
66,百利电气：公司互感器产品的主要客户为国内成套电气厂商 电网公司属于目标客户但产品销量较少,2022-08-10 13:11:04,600468.sh,每经AI快讯，有投资者在投资者互动平台提问：尊敬的董秘，你好！请问贵司生产的互感器和电磁线产品主要供应给哪些企业？是否有跟国网合作？产量如何？谢谢！ 百利电气(600468.SH)8月10日在投资者互动平台表示，公司互感器产品的主要客户为国内成套电气厂商，电网公司属于目标客户但产品销量较少；电磁线产品的主要客户为国内重点重型发电装备制造企业，销售收入占比较大但电网公司不属于目标客户。
67,百利电气：100KVA储能变流器产品处研发阶段 尚未投产,2022-08-10 13:10:02,600468.sh,e公司讯，百利电气(600468)在互动平台回复投资者提问称，100KVA储能变流器由控股子公司辽宁荣信兴业电力技术有限公司研发，该产品属于小功率产品，目前处于研发阶段，尚未投产。
68,（7-29）百利电气连续三日收于年线之上,2022-07-29 15:40:18,600468.sh,2022年7月29日，百利电气A股开盘4.73元，全日上涨1.68%，股价收报4.83元。自2022年7月27日以来，百利电气收盘价连续三日收于年线（250日均线）之上。  东方财富Choice数据显示，百利电气股价前一次连续三日收于年线之上为今年的7月20日，当日收盘价为4.84元（前复权），次日股价出现了下跌。  回溯近一年股价，百利电气共计实现7次连续三日收于年线之上。历史数据显示，次日股价跌多涨少，共计实现上涨3次，最大涨幅为8.21%；遭遇下跌4次，最大跌幅为3.58%。  统计2021年1月29日至2022年1月28日的全市场数据，东方财富Choice数据显示，共有3438只个股连续三日收与年线之上10020次，其中4483次第二日股价上涨，5236次股价下跌，301次股价无变动，全市场次日平均收益率为0.01%。若将期限拉长，一个月（20日）、三个月（60日）、六个月（120日）平均收益率分别为2.19%、4.61%、5.93%。
87,百利电气：2022年第一季度净利润约2745万元,2022-04-27 16:04:14,600468.sh,百利电气(SH600468，收盘价：3.6元)4月27日晚间发布一季度业绩公告称，2022年第一季度营收约5.18亿元；净利润约2745万元；基本每股收益0.0252元。 2021年1至12月份，百利电气的营业收入构成为：制造业占比89.58%，贸易业占比6.58%。 百利电气的董事长是赵久占，男，学历背景为博士；总经理是史祺，男，学历背景为博士。
88,百利电气股东户数下降3.25%，户均持股20.7万元,2022-04-27 16:02:25,600468.sh,百利电气2022年4月28日在一季度报告中披露，截至2022年3月31日公司股东户数为2.62万户，较上期（2021年12月31日）减少880户，减幅为3.25%。 百利电气股东户数低于行业平均水平。根据Choice数据，截至2022年3月31日电力设备行业上市公司平均股东户数为4.87万户。其中，公司股东户数处于2万~4万区间占比最高，为25.26%，百利电气也处在该区间范围内。  2021年3月31日至今，公司股东户数有所增长，区间涨幅为1.45%。2021年3月31日至2022年3月31日区间股价上涨17.78%。  截至2022年3月31日，公司最新总股本为11.22亿股，且均为流通股。户均持有流通股数量由上期的4.14万股上升至4.28万股，户均流通市值20.7万元。 百利电气户均持有流通市值低于行业平均水平。根据Choice数据，截至2022年3月31日，电力设备行业A股上市公司平均户均持有流通股市值为45.11万元。其中，25.61%的公司户均持有流通股市值在11万~22万区间内，百利电气也处在该区间范围内。
89,【图解季报】百利电气：2022年一季度归母净利润同比小幅增长2.2%，约为2745万元,2022-04-27 15:58:40,600468.sh,百利电气于2022年4月28日披露一季报，公司2022年一季度实现营业总收入5.2亿，同比增长1.4%；实现归母净利润2745.4万，同比增长2.2%；每股收益为0.03元。  公司2022一季度营业成本4亿，同比增长1.3%，低于营业收入1.4%的增速，导致毛利率上升0.1%。期间费用率为15.6%，同去年相比变化不大。
90,百利电气：2022年一季度净利润同比增长2.18%,2022-04-27 15:53:51,600468.sh,百利电气（600468）发布一季报，2022年一季度实现营业总收入5.18亿元，同比增长1.38%；归属母公司股东净利润2745.43万元，同比增长2.18%；基本每股收益为0.0252元。
91,百利电气股价连续3日创逾26个月新低,2022-04-27 15:49:30,600468.sh,2022年4月27日行情数据显示，百利电气股价盘中最低触及3.37元，创2020年2月7日以来新低。近一年来，百利电气股价下跌8.87%。
92,百利电气股价连续2日创逾26个月新低,2022-04-26 15:41:35,600468.sh,2022年4月26日行情数据显示，百利电气股价盘中最低触及3.5元，创2020年2月17日以来新低。近一年来，百利电气累计跌幅达11.31%。
94,百利电气股价创逾26个月新低,2022-04-25 15:49:43,600468.sh,2022年4月25日行情数据显示，百利电气股价盘中最低触及3.61元，创2020年2月18日以来新低。近一年来，百利电气股价下跌8.30%。
98,百利电气：上海疫情对子公司苏州贯龙有一定影响,2022-04-20 13:01:35,600468.sh,e公司讯，百利电气(600468)4月20日在互动平台表示，控股子公司苏州贯龙电磁线有限公司经营场所靠近上海，生产经营因疫情受到一定程度的影响。控股子公司辽宁荣信兴业电力技术有限公司目前未因疫情造成停产。
99,百利电气：控股子公司苏州贯龙电磁线有限公司经营场所靠近上海 生产经营因疫情受到一定程度的影响,2022-04-20 12:52:29,600468.sh,每经AI快讯，有投资者在投资者互动平台提问：请问董秘公司分子公司受疫情影响江苏贯龙、辽宁荣信停工停产情况如何谢谢！ 百利电气(600468.SH)4月20日在投资者互动平台表示，控股子公司苏州贯龙电磁线有限公司经营场所靠近上海，生产经营因疫情受到一定程度的影响。控股子公司辽宁荣信兴业电力技术有限公司目前未因疫情造成停产。
100,百利电气股东户数下降3.25%，户均持股20.7万元,2022-04-19 19:18:27,600468.sh,百利电气2022年4月20日在年度报告中披露，截至2022年3月31日公司股东户数为2.62万户，较上期（2021年12月31日）减少880户，减幅为3.25%。 百利电气股东户数低于行业平均水平。根据Choice数据，截至2022年3月31日电力设备行业上市公司平均股东户数为4.93万户。其中，公司股东户数处于2万~4万区间占比最高，为25.81%，百利电气也处在该区间范围内。  2021年3月31日至今，公司股东户数有所增长，区间涨幅为1.45%。2021年3月31日至2022年3月31日区间股价上涨17.78%。  截至2022年3月31日，公司最新总股本为11.22亿股，且均为流通股。户均持有流通股数量由上期的4.14万股上升至4.28万股，户均流通市值20.7万元。 百利电气户均持有流通市值低于行业平均水平。根据Choice数据，截至2022年3月31日，电力设备行业A股上市公司平均户均持有流通股市值为45.87万元。其中，26.16%的公司户均持有流通股市值在11.5万~22万区间内，百利电气也处在该区间范围内。
101,百利电气2021年度拟10派0.29元,2022-04-19 19:14:26,600468.sh,百利电气4月20日公布2021年年度分红预案：向全体股东每10股派发现金红利0.29元(含税)，合计派发现金红利总额为3154.43万元。 百利电气2021年年报显示，截止2021年12月31日，公司的营业总收入23.4亿元，同比增长6.38%；归属母公司股东净利润1.05亿元，同比下降4.78%；基本每股收益为0.0963元。 近年来，公司历次分红派息情况如下表所示： 近年来，百利电气的年度股息率走势如下图： 公司自上市以来募资2次共计12.98亿元，派现15次共计1.63亿元，累计派现募资比为12.56%。分红派现及募集资金的对比情况如下图：
111,（3-14）百利电气连续三日收于年线之上，前次最大涨幅5.36%,2022-03-14 15:24:05,600468.sh,2022年3月14日，百利电气A股开盘4.71元，全日小跌0.42%，股价收报4.75元。自2022年3月10日以来，百利电气收盘价连续三日收于年线（250日均线）之上。  东方财富Choice数据显示，百利电气股价前一次连续三日收于年线之上为今年的3月1日，当日收盘价为4.66元（前复权）。此后百利电气股价短期有一定的上扬，持续4日站在支撑价格4.66元之上，期间最大涨幅为5.36%。  回溯近一年股价，百利电气共计实现4次连续三日收于年线之上。历史数据显示，次日股价涨多跌少，共计实现上涨3次，最大涨幅为8.21%；遭遇下跌1次，跌幅为0.64%。  统计2020年9月10日至2021年9月9日的全市场数据，东方财富Choice数据显示，共有3135只个股连续三日收与年线之上9120次，其中3945次第二日股价上涨，4906次股价下跌，269次股价无变动，全市场次日平均收益率为-0.06%。若将期限拉长，一个月（20日）、三个月（60日）、六个月（120日）平均收益率分别为0.84%、3.01%、10.27%。
113,百利电气3月9日盘中跌幅达5%,2022-03-09 13:49:41,600468.sh,以下是百利电气在北京时间3月9日13:44分盘口异动快照：3月9日，百利电气盘中跌幅达5%，截至13点44分，报4.38元，成交2535.56万元，换手率0.50%。注：以上信息仅供参考，不对您构成任何投资建议。
114,成交均价4.77元！百利电气：第二期员工持股计划累计买入公司股票353万股,2022-03-07 15:44:52,600468.sh,百利电气(SH600468，收盘价：4.68元)3月7日晚间发布公告称，截至2022年3月4日，公司第二期员工持股计划已通过二级市场累计购买本公司股票约353万股，占公司总股本的0.31%，成交均价约为4.77元/股，成交金额合计为约1682万元。
115,（3-1）百利电气连续三日收于年线之上,2022-03-01 15:24:54,600468.sh,2022年3月1日，百利电气A股开盘4.57元，全日上涨2.19%，股价收报4.66元。自2022年2月25日以来，百利电气收盘价连续三日收于年线（250日均线）之上。  东方财富Choice数据显示，百利电气股价前一次连续三日收于年线之上为今年的2月9日，当日收盘价为4.68元（前复权），次日股价出现了下跌。  回溯近一年股价，百利电气共计实现3次连续三日收于年线之上。历史数据显示，次日股价涨多跌少，共计实现上涨2次，最大涨幅为8.21%；遭遇下跌1次，跌幅为0.64%。  统计2020年8月28日至2021年8月27日的全市场数据，东方财富Choice数据显示，共有3049只个股连续三日收与年线之上8849次，其中3796次第二日股价上涨，4799次股价下跌，254次股价无变动，全市场次日平均收益率为-0.08%。若将期限拉长，一个月（20日）、三个月（60日）、六个月（120日）平均收益率分别为0.86%、2.73%、9.92%。
116,大宗交易：机构账户买入百利电气566.6万元（02-18）,2022-02-18 18:00:14,600468.sh,2022年2月18日，百利电气发生1笔大宗交易，总成交125.91万股，成交金额566.6万元，成交价4.50元，折价1.53%。
117,百利电气：第二期员工持股计划现正在证券公司办理账户开户业务 尚未买入公司股票,2022-02-10 15:41:15,600468.sh,百利电气(SH600468，收盘价：4.65元)2月10日晚间发布公告称，截至本公告披露日，公司第二期员工持股计划已在中国证券登记结算有限责任公司开立完成“员工持股计划专用证券账户”，现正在证券公司办理账户开户业务，尚未买入公司股票。2021年1至6月份，百利电气的营业收入构成为：制造业占比88.5%，商业占比6.82%，分部间抵消占比-0.46%。
118,（2-9）百利电气连续三日收于年线之上，前次最大涨幅12.96%,2022-02-09 15:25:10,600468.sh,2022年2月9日，百利电气A股开盘4.70元，全日小跌0.43%，股价收报4.68元。自2022年2月7日以来，百利电气收盘价连续三日收于年线（250日均线）之上。  东方财富Choice数据显示，百利电气股价前一次连续三日收于年线之上为2021年9月6日，当日收盘价为4.63元（前复权）。次日百利电气股价有所上涨，并持续12日站于支撑价位4.63元之上，2021年9月14日达到期间最高价，实现最大涨幅12.96%。  回溯近一年股价，百利电气共计实现2次连续三日收于年线之上。值得注意的是，次日股价均实现了不同程度的上涨，其中次日最大涨幅为8.21%。  统计2020年8月10日至2021年8月9日的全市场数据，东方财富Choice数据显示，共有3007只个股连续三日收与年线之上8665次，其中3691次第二日股价上涨，4725次股价下跌，249次股价无变动，全市场次日平均收益率为-0.10%。若将期限拉长，一个月（20日）、三个月（60日）、六个月（120日）平均收益率分别为0.65%、2.56%、9.07%。
